"player","position","team","playerId","birthdate","points","lower","upper","sdPts","positionRank","dropoff","tier","vor","overallRank","adp","aav","adpDiff","exp","ecrPosition","sdRank","ecrRank","risk"
"Mack Hollins","WR","PHI",2558262,1993-09-16,41.625,41.625,41.625,,118,1.375,0,-147.958333333333,354,195.433333333333,0.19,158.566666666667,1,,,,
"Cody Latimer","WR","NYG",2543590,1992-10-10,40.375,40.375,40.375,,119,0.875,0,-149.208333333333,355,213.22,0.18,141.78,4,,,,
"Jakeem Grant","WR","MIA",2556190,1992-10-30,40.125,40.125,40.125,,120,2,0,-149.458333333333,356,160.475,0.305,195.525,2,,,,
"Jordan Taylor","WR","DEN",2553606,1992-02-18,38.875,38.875,38.875,,121,1.625,0,-150.708333333333,357,150.98,0.15,206.02,3,,,,
"Antonio Callaway","WR","CLE",2560988,1997-01-09,37.375,37.375,37.375,,122,0.4375,0,-152.208333333333,358,175.763333333333,0.826666666666667,182.236666666667,0,,,,
"Justin Hardy","WR","ATL",2552418,1991-12-18,37.125,37.125,37.125,,123,2.25,0,-152.458333333333,359,160.465,0.44,198.535,3,,,,
"Breshad Perriman","WR","BAL",2552597,1993-09-10,36.75,36.75,36.75,,124,3.8125,0,-152.833333333333,360,160.47,0.413333333333333,199.53,3,,,,
"Deon Cain","WR","IND",2560987,1996-08-09,33,33,33,,125,1.75,0,-156.583333333333,361,178.736666666667,0.565,182.263333333333,0,,,,
"DeAngelo Yancey","WR","GB",2558025,1994-11-18,32.875,32.875,32.875,,126,3.5,0,-156.708333333333,362,150.99,1.065,211.01,1,,,,
"AJ McCarron","QB","BUF",2543497,1990-09-13,95.6,95.6,95.6,,32,17.95,0,-156.766666666667,363,189.993333333333,1.35666666666667,173.006666666667,4,,,,
"Michael Campanaro","WR","TEN",2550163,1991-01-25,29.625,29.625,29.625,,127,1.5625,0,-159.958333333333,364,160.495,0.09,203.505,4,,,,
"Josh Reynolds","WR","LAR",2558194,1995-02-16,29.125,29.125,29.125,,128,2.125,0,-160.458333333333,365,157.333333333333,0.5875,207.666666666667,1,,,,
"Phillip Dorsett","WR","NE",2552424,1993-01-05,27,27,27,,129,1.4375,0,-162.583333333333,366,199.96,0.453333333333333,166.04,3,,,,
"Tanner McEvoy","WR","SEA",2556612,1993-01-26,27,27,27,,129,3,0,-162.583333333333,366,150.99,0.575,215.01,2,,,,
"Damiere Byrd","WR","CAR",2553499,1993-01-27,24.125,24.125,24.125,,131,0.5625,0,-165.458333333333,368,160.49,0.085,207.51,3,,,,
"Darrius Heyward-Bey","WR","PIT",80427,1987-02-26,23.875,23.875,23.875,,132,0.625,0,-165.708333333333,369,160.46,0.386666666666667,208.54,9,,,,
"Alex Erickson","WR","CIN",2556519,1992-11-06,23.25,23.25,23.25,,133,0.5,0,-166.333333333333,370,150.99,0.24,219.01,2,,,,
"Brian Quick","WR","WAS",2532933,1989-06-05,23.25,23.25,23.25,,133,0,0,-166.333333333333,370,150.96,0.15,219.04,6,,,,
"Kevin White","WR","CHI",2553432,1992-06-25,23.25,23.25,23.25,,133,0.125,0,-166.333333333333,370,185.403333333333,0.573333333333333,184.596666666667,3,,,,
"Deonte Thompson","WR","DAL",2534436,1989-02-14,23,23,23,,136,1.3125,0,-166.583333333333,373,157.313333333333,0.165,215.686666666667,6,,,,
"Tavarres King","WR","MIN",2539235,1990-07-14,22.5,22.5,22.5,,137,3.0625,0,-167.083333333333,374,150.99,0.555,223.01,5,,,,
"Josh Allen","QB","BUF",2560955,1996-05-21,84,84,84,,33,13.98,0,-168.366666666667,375,166.2,2.40333333333333,208.8,0,,,,
"Chris Conley","WR","KC",2552652,1992-10-25,20.875,20.875,20.875,,138,2.9375,0,-168.708333333333,376,209.15,0.52,166.85,3,,,,
"ArDarius Stewart","WR","NYJ",2558150,1993-12-08,18,18,18,,139,0.4375,0,-171.583333333333,377,157.32,0.105,219.68,1,,,,
"Amara Darboh","WR","SEA",2557905,1994-02-01,17.875,17.875,17.875,,140,0.625,0,-171.708333333333,378,201.386666666667,0.185,176.613333333333,1,,,,
"Chris Moore","WR","BAL",2555209,1993-06-16,17.25,17.25,17.25,,141,0,0,-172.333333333333,379,160.49,0.08,218.51,2,,,,
"Leonte Carroo","WR","MIA",2555215,1994-01-24,17.25,17.25,17.25,,141,0.5,0,-172.333333333333,379,155.7425,0.135,223.2575,2,,,,
"Ryan Switzer","WR","OAK",2557960,1994-11-04,17.25,17.25,17.25,,141,1,0,-172.333333333333,379,208.383333333333,0.44,170.616666666667,1,,,,
"Keke Coutee","WR","HOU",2561029,1997-01-14,16.25,16.25,16.25,,144,0.9375,0,-173.333333333333,382,176.926666666667,0.56,205.073333333333,0,,,,
"Tajae Sharpe","WR","TEN",2555317,1994-12-23,16.25,16.25,16.25,,144,0.3125,0,-173.333333333333,382,160.48,0.416666666666667,221.52,2,,,,
"Jehu Chesson","WR","KC",2557866,1993-12-29,15.625,15.625,15.625,,146,0.625,0,-173.958333333333,384,157.32,0.1,226.68,1,,,,
"Johnny Holton","WR","OAK",2556805,1991-08-22,15,15,15,,147,,0,-174.583333333333,385,150.99,0.17,234.01,2,,,,
"Baker Mayfield","QB","CLE",2560800,1995-04-14,71.3,71.3,71.3,,34,8.04000000000001,0,-181.066666666667,386,154.046666666667,3.80333333333333,231.953333333333,0,,,,
"Josh Rosen","QB","ARI",2560858,1997-02-10,68.74,68.74,68.74,,35,13.38,0,-183.626666666667,387,157.416666666667,3.37,229.583333333333,0,,,,
"Ryan Fitzpatrick","QB","TB",2506581,1982-11-24,57.78,57.78,57.78,,36,5.90000000000001,0,-194.586666666667,388,189.533333333333,0.45,198.466666666667,13,,,,
"Nick Foles","QB","PHI",2532842,1989-01-20,52.94,52.94,52.94,,37,4.66,0,-199.426666666667,389,180.096666666667,0.626666666666667,208.903333333333,6,,,,
"Sam Darnold","QB","NYJ",2561036,1997-06-05,50.82,50.82,50.82,,38,12.48,0,-201.546666666667,390,159.74,2.84,230.26,0,,,,
"Jacoby Brissett","QB","IND",2555261,1992-12-11,45.74,45.74,45.74,,39,18.32,0,-206.626666666667,391,192.3,0.85,198.7,2,,,,
"Brandon Weeden","QB","HOU",2532970,1983-10-14,30.94,30.94,30.94,,40,7.24,0,-221.426666666667,392,170,0.105,222,6,,,,
"Lamar Jackson","QB","BAL",2560757,1997-01-07,23.9,23.9,23.9,,41,0.699999999999996,0,-228.466666666667,393,153.86,3.29,239.14,0,,,,
"Blaine Gabbert","QB","TEN",2495441,1989-10-15,23.5,23.5,23.5,,42,4.77,0,-228.866666666667,394,160.47,0.1,233.53,7,,,,
"Chase Daniel","QB","CHI",81284,1986-10-07,22.9,22.9,22.9,,43,9.41,0,-229.466666666667,395,170,0.07,225,9,,,,
"Landry Jones","QB","PIT",2539287,1989-04-04,14.56,14.56,14.56,,44,2.73,0,-237.806666666667,396,160.495,0.085,235.505,5,,,,
"Matt Barkley","QB","CIN",2539308,1990-09-08,12.42,12.42,12.42,,45,1.38,0,-239.946666666667,397,160.485,0.39,236.515,5,,,,
"Brock Osweiler","QB","MIA",2533436,1990-11-22,11.24,11.24,11.24,,46,2.62,0,-241.126666666667,398,160.465,0.4,237.535,6,,,,
"Colt McCoy","QB","WAS",497123,1986-09-05,10.84,10.84,10.84,,47,4.54,0,-241.526666666667,399,160.49,0.376666666666667,238.51,8,,,,
"Davis Webb","QB","NYG",2557897,1995-01-22,6.4,6.4,6.4,,48,0.460000000000001,0,-245.966666666667,400,226.415,0.12,173.585,1,,,,
"Austin Davis","QB","SEA",2533349,1989-06-02,6.2,6.2,6.2,,49,0.52,0,-246.166666666667,401,160.495,1.39,240.505,6,,,,
"Sean Mannion","QB","LAR",2552576,1992-04-25,5.68,5.68,5.68,,50,,0,-246.686666666667,402,170,0.1,232,3,,,,
"Adam Vinatieri","K","IND",2503471,1972-12-28,28,28,28,,24,0.5,0,,427,136.834,0.98,290.166,22,,,,
"Aldrick Rosas","K","NYG",2556771,1994-12-30,31,31,31,,16,2,0,,420,160.42,0.476666666666667,259.58,2,,,,
"Brandon McManus","K","DEN",2541556,1991-07-25,29,29,29,,19,0,0,,423,159.775,0.513333333333333,263.225,4,,,,
"Cairo Santos","K","NYJ",2550636,1991-11-21,29,29,29,,19,1,0,,425,158.586666666667,0.503333333333333,266.413333333333,4,,,,
"Caleb Sturgis","K","LAC",2539637,1989-08-09,35,35,35,,6,1,0,,411,160.44,0.5,250.56,5,,,,
"Chandler Catanzaro","K","TB",2550325,1991-02-26,31,31,31,,16,0,0,,418,160.225,0.486666666666667,257.775,4,,,,
"Chris Boswell","K","PIT",2550545,1989-12-16,34,34,34,,10,1,0,,413,145.4,1.12,267.6,4,,,,
"Cody Parkey","K","CHI",2550380,1992-02-19,29,29,29,,19,0.5,0,,424,160.39,0.486666666666667,263.61,4,,,,
"Dan Bailey","K","DAL",2495259,1988-01-26,35,35,35,,6,0,0,,408,124.088,1.12,283.912,7,,,,
"Dustin Hopkins","K","WAS",2539227,1990-10-01,29,29,29,,19,0,0,,422,160.21,0.59,261.79,5,,,,
"Eddy Pineiro","K","OAK",2560842,,27,27,27,,27,3,0,,431,160.445,0.48,270.555,0,,,,
"Graham Gano","K","CAR",71309,1987-04-09,27,27,27,,27,0,0,,429,172.7,0.526666666666667,256.3,9,,,,
"Greg Zuerlein","K","LAR",2534797,1987-12-27,38,38,38,,4,2,0,,406,93.414,2.41333333333333,312.586,6,,,,
"Harrison Butker","K","KC",2558245,1995-07-14,32,32,32,,14,1,0,,417,118.858,1.07333333333333,298.142,1,,,,
"Jake Elliott","K","PHI",2558172,1995-01-21,40,40,40,,3,2.5,1,,405,117.45,1.06333333333333,287.55,1,,,,
"Jason Sanders","K","MIA",2561153,,28,28,28,,24,1,0,,428,160.45,0.453333333333333,267.55,0,,,,
"Josh Lambo","K","JAC",2553833,1990-11-19,32,32,32,,14,0.5,0,,416,159.975,0.483333333333333,256.025,3,,,,
"Justin Tucker","K","BAL",2536340,1989-11-21,34,34,34,,10,0.5,0,,412,96.396,1.93333333333333,315.604,6,,,,
"Kai Forbath","K","MIN",2495150,1987-09-02,28,28,28,,24,0,0,,426,120.9175,0.523333333333333,305.0825,7,,,,
"Kaimi Fairbairn","K","HOU",2556521,1994-01-29,31,31,31,,16,1,0,,419,160.365,0.463333333333333,258.635,2,,,,
"Mason Crosby","K","GB",2507232,1984-09-03,41,41,41,,2,2,1,,404,129.206,0.616666666666667,274.794,11,,,,
"Matt Bryant","K","ATL",2504797,1975-05-29,35,35,35,,6,0,0,,409,110.596,1.18,298.404,16,,,,
"Matt Prater","K","DET",2506677,1984-08-10,35,35,35,,6,0.5,0,,410,121.81,0.936666666666667,288.19,12,,,,
"Phil Dawson","K","ARI",2500351,1975-01-23,26,26,26,,30,4,0,,432,160.365,0.466666666666667,271.635,20,,,,
"Randy Bullock","K","CIN",2533444,1989-12-16,33,33,33,,12,1,0,,415,160.455,0.225,254.545,6,,,,
"Robbie Gould","K","SF",2506264,1982-12-06,22,22,22,,31,0,0,,433,125.666,1.02333333333333,307.334,13,,,,
"Ryan Succop","K","TEN",89802,1986-09-19,29,29,29,,19,0,0,,421,158.43,0.513333333333333,262.57,9,,,,
"Sebastian Janikowski","K","SEA",2504257,1978-03-02,33,33,33,,12,0.5,0,,414,159.6,0.463333333333333,254.4,18,,,,
"Stephen Gostkowski","K","NE",2506922,1984-01-28,45,45,45,,1,4.5,1,,403,93.102,2.93,309.898,12,,,,
"Steven Hauschka","K","BUF",2507374,1985-06-29,22,22,22,,31,,0,,434,148.54,0.91,285.46,2018,,,,
"Wil Lutz","K","NO",2556601,1994-07-07,37,37,37,,5,2,0,,407,111.696,1.17333333333333,295.304,2,,,,
"Zane Gonzalez","K","CLE",2558178,1995-05-07,27,27,27,,27,0.5,0,,430,160.425,0.546666666666667,269.575,1,,,,
